date,title,url,category
2026-06-10,C++ Performance Tips: Cutting Down on Unnecessary Objects,https://isocpp.org/blog/2026/06/cppcon-2025-cutting-down-on-unnecessary-objects-prithvi-okade-kathleen-baker,性能优化
2026-06-10,The smallest C binary,https://blog.weineng.me/posts/smallest_c,性能优化
2026-06-10,Magic Enum: Header-only C++17 enum reflection,https://github.com/Neargye/magic_enum,工具与库
2026-06-10,ConjureEnum: C++20 enum and typename reflection,https://github.com/fix8mt/conjure_enum,工具与库
2026-06-11,C++26: Cleaning up string literals,https://www.sandordargo.com/blog/2026/06/10/cpp26-string-literals-cleaned-up,新特性实战
2026-06-11,Fast Branchless Quicksort Using Sorting-Networks,https://tiki.li/blog/blqsort,性能优化
2026-06-11,CppCon 2025 Cache-Friendly C++ -- Jonathan Mueller,https://isocpp.org//blog/2026/06/cppcon-2025-cache-friendly-cpp-jonathan-mueller,性能优化
2026-06-11,C++: The Documentary 正式发布,https://herbsutter.com/2026/06/04/c-the-documentary-released-today/,深度好文推荐
2026-06-11,深度分析：OpenCL 和 CUDA C++ 替代方案为何未能主导 AI 计算,https://www.modular.com/blog/democratizing-ai-compute-part-5-what-about-cuda-c-alternatives,深度好文推荐
2026-06-11,Asryx：零依赖 C++ 本地语音识别（ASR）工具,https://github.com/rccyx/asryx,工具与库
2026-06-11,C++ STL Container Complexities 速查表,https://alyssaq.github.io/stl-complexities/,工具与库
2026-06-11,C++: The Documentary,https://isocpp.org//blog/2026/06/cpp-the-documentary,深度好文推荐
2026-06-12,ARB: C++23 Rigid Body Simulation Library,https://github.com/wbyates777/Articulated-Rigid-Body,tools
2026-06-12,Quilt.cpp: C++20 patch management tool,https://github.com/skeeto/quilt.cpp,tools
2026-06-12,C++ book cover humor,https://devblogs.microsoft.com/oldnewthing/20260605-01/?p=112391,funs
2026-06-13,C++26: Structured Bindings can introduce a Pack,https://isocpp.org//blog/2026/06/cpp26-structured-bindings-can-introduce-a-pack-sandor-dargo,新特性实战
2026-06-13,best: C++ STL replacement library,https://github.com/mcy/best,工具与库
2026-06-13,When The C/C++ Users Journal Disappeared,https://freshsources.com/blog/files/cpp-source.html,深度好文推荐
2026-06-14,Trip report: June 2026 ISO C++ standards meeting (Brno),https://herbsutter.com/2026/06/13/brno-trip-report/,新特性实战
2026-06-14,Orthodox C++ (2016),https://bkaradzic.github.io/posts/orthodoxc++/,C++11实用技巧
2026-06-14,s3cpp: Lightweight C++23 S3 client,https://github.com/ggcr/s3cpp,工具与库
2026-06-14,What science can tell us about C and C++'s security,https://alexgaynor.net/2020/may/27/science-on-memory-unsafety-and-security/,深度好文推荐
2026-06-15,Parsing JSON at compile time with C++26 static reflection,https://lemire.me/blog/2026/06/14/parsing-json-at-compile-time-with-c26-static-reflection/,新特性实战
2026-06-15,locate-anything.cpp,https://github.com/mudler/locate-anything.cpp,工具与库
2026-06-15,Velo non-linear video editor,https://github.com/notune/velo,工具与库
2026-06-15,Meeting C++ 2026 voting,https://isocpp.org//blog/2026/06/the-voting-on-the-talks-for-meeting-cpp-2026-has-begun,深度好文推荐
2026-06-16,GCC 16 新特性：改进的错误消息与 SARIF 输出,https://isocpp.org//blog/2026/06/new-features-in-gcc-16-improved-error-messages-and-sarif-output-david-malco,工具与库
2026-06-16,Luz：纯 C++20 从头实现的光线追踪器,https://github.com/themartiano/luz,工具与库
2026-06-16,FlashQwen：零外部依赖的 C++/CUDA Qwen3-8B 推理引擎,https://github.com/frankkk96/FlashQwen,工具与库
2026-06-18,GCC 17 合入 C++29 初始基础设施,https://www.phoronix.com/news/GCC-17-std-CPP29-Experimental,新特性实战
2026-06-18,《Memory Management in C++》by Patrice Roy — 书评,https://www.sandordargo.com/blog/2026/06/17/memory-managenent-by-patrice-roy,深度好文推荐
2026-06-18,从 C++17 到 C++23 的函数组合,https://freshsources.com/code-capsules/composing-functions/,深度好文推荐
2026-06-18,privacy-filter.cpp：OpenAI 隐私过滤 NER 的 C++/GGML 实现,https://github.com/localai-org/privacy-filter.cpp,工具与库
2026-06-19,C++29 最大亮点已可查阅？全面列出所有 UB 的 Annex,https://www.meetingcpp.com/blog/items/One-of-the-best-Cpp29-features-is-already-available-.html,新特性实战
2026-06-19,maybe_ptr：用 range-for 语法优雅处理可空指针,https://lzon.ca/posts/tips/cpp-maybe-type/,C++11实用技巧
2026-06-19,YaFF：Yandex 开源高性能零拷贝 Protobuf 序列化库,https://github.com/yandex/yaff,工具与库
2026-06-20,操作耗时速查图（第二版）：现代 CPU 时钟周期大全,https://6it.dev/blog/infographics-operation-costs-in-cpu-clock-cycles-take-2-80736,性能优化
2026-06-20,P3100R6：系统性消除 C++ 标准未定义行为的整体框架,https://www.open-std.org/jtc1/sc22/wg21/docs/papers/2026/p3100r6.pdf,新特性实战
2026-06-21,BytePack：面向 MCU 的 Header-only C++17 序列化库,https://github.com/alkonosst/BytePack,工具与库
2026-06-22,C++26 std::format 改进：空行输出、指针格式化、路径格式化,https://mariusbancila.ro/blog/2026/06/19/improvements-to-stdformat-in-c26/,新特性实战
2026-06-22,CUDA C++ 中大圆距离计算的快速实现,https://developer.nvidia.com/blog/fast-great-circle-distance-calculation-cuda-c/,性能优化
2026-06-22,Horus — 零依赖 C++17 Windows 安全分析 CLI,https://github.com/mobinert/horus,工具与库
2026-06-23,Arma: Cold War Assault Remastered 引擎源码开源,https://github.com/BohemiaInteractive/CWR,工具与库
2026-06-23,AirPlay 2 Sender for C++ — 加密RAOP/RTSP实现,https://github.com/akustikrausch/airplay2-sender-cpp,工具与库
2026-06-23,The Room — 关于C++标准委员会内部生活的小说,https://wg21.org/books/,深度好文推荐
2026-06-24,C++ Lifetime-End Pointer-Zap and OOTA Progress,https://people.kernel.org/paulmck/c-pointer-zap-and-oota-progress,并发与并行
2026-06-24,Two Indexed Hash Tables,https://vnmakarov.github.io/data%20structures/c/c++/open-source/2026/06/23/two-indexed-hash-tables.html,性能优化
2026-06-24,Kinoko Mario Kart Wii physics engine C++ reimplementation,https://github.com/vabold/Kinoko,工具与库
2026-06-24,How Small Can a C++ Unit Test Framework Be?,https://freshsources.com/code-capsules/test-part1/,C++11实用技巧
2026-06-25,GCC C/C++ Vector Extensions: portable SIMD,https://gcc.gnu.org/onlinedocs/gcc/Vector-Extensions.html,性能优化
2026-06-25,C++ ALNS routing engine: LEO satellite 49ms,https://www.youtube.com/watch?v=6xXRh7PC7nI,性能优化
2026-06-25,Fail-safe Application Logger crash protection,https://github.com/wandi-ssal/fail-safe-application-logger,工具与库
2026-06-25,CppCon 2025 Libc++ design and optimisations,https://isocpp.org//blog/2026/06/cppcon-2025-cpp-standard-librarydesign-optimisations-testing-while-implemen,深度好文推荐
2026-06-26,A value_lock type for C++,https://lzon.ca/posts/tips/cpp-value-lock-type/,并发与并行
2026-06-26,"C++23 - The Complete Guide draft ebook is out -- Nicolai Josuttis",https://isocpp.org//blog/2026/06/cpp23-the-complete-guide-draft-ebook-is-out,新特性实战
2026-06-26,"Cascade Router: bare-metal C++ LLM routing proxy",https://github.com/Cascade-Router/cascade-router,工具与库
2026-06-26,"CppCon 2026 first-ever keynote panel: Stroustrup, van Rossum, Torgersen",https://isocpp.org//blog/2026/06/cppcons-first-ever-keynote-panel-stroustrup-van-rossum-and-torgersen-togeth,深度好文推荐
2026-06-27,hopscotch-map：基于 Hopscotch Hashing 的高性能哈希映射,https://github.com/Tessil/hopscotch-map,工具与库
2026-06-27,从 C++14 升级到 C++20：Rare 工作室的 /W4 /WX 之旅,https://isocpp.org//blog/2026/06/becpp-symposium-2026-keith-stockdale-the-journey-to-w4-wx-how-hard-could-it,工程质量
2026-06-27,Meeting C++ 2026 首批议程公布,https://isocpp.org//blog/2026/06/a-first-look-at-the-program-of-meeting-cpp-2026,深度好文推荐
2026-06-27,C++: The Documentary 纽约首映后的专家小组讨论,https://isocpp.org//blog/2026/06/panel-discussion-for-cpp-the-documentary,深度好文推荐
2026-06-28,C++26: string and string_view improvements,https://isocpp.org//blog/2026/06/cpp26-string-and-string-view-improvements-sandor-dargo,新特性实战
2026-06-28,CppCon 2025 Lazy and Fast: Ranges Meet Parallelism in C++,https://isocpp.org//blog/2026/06/cppcon-2025-lazy-and-fast-ranges-meet-parallelism-in-cpp-daniel-anderson,性能优化
2026-06-28,CppCon 2025 How to Tame Packs std::tuple & integer_sequence,https://isocpp.org//blog/2026/06/cppcon-2025-how-to-tame-packs-stdtuple-the-wily-stdinteger-sequence-andrei,深度好文推荐
2026-06-28,audio.cpp: 纯C++ ggml音频推理引擎,https://github.com/0xShug0/audio.cpp,工具与库
2026-06-28,Agentic Time-Travel Debugging (BeCPP 2026),https://isocpp.org//blog/2026/06/becpp-symposium-2026-chris-croft-white-agentic-time-travel-debugging,深度好文推荐
2026-06-29,Streamline C++ Code Intelligence Setup in Copilot CLI,https://devblogs.microsoft.com/cppblog/streamline-c-code-intelligence-setup-in-copilot-cli/,工具与库
2026-06-29,Tsar-MCP: Create MCPServer Aspect in C/C++,https://ibm.github.io/tsar-mcp/mcp/doc/MCPServer_AspectGuide.html,工具与库
2026-06-30,"Automated Unit Testing On-The-Cheap: Part 1",https://freshsources.com/code-capsules/test-part1/,C++11实用技巧
2026-06-30,"Silent foe or quiet ally: Brief guide to alignment in C++. Part 3",https://pvs-studio.com/en/blog/posts/cpp/1369/,性能优化
2026-06-30,"CppCon 2025 Back to Basics: Master C++ Friendship",https://isocpp.org//blog/2026/05/cppcon-2025-back-to-basics-master-cpp-friendship-mateusz-pusz,深度好文推荐
2026-07-01,"CppCon 2025 Joy of C++26 Contracts - Myths, Misconceptions & Defensive Programming (Herb Sutter)",https://isocpp.org//blog/2026/06/cppcon-2025-joy-of-cpp26-contracts-myths-misconceptions-defensive-programmi,新特性实战
2026-07-01,"prima.cpp: Fast 30-70B LLM inference on heterogeneous home devices",https://github.com/OpenCPIL/prima.cpp,工具与库
2026-07-01,"Save the Date: Pure Virtual C++ 2026",https://isocpp.org//blog/2026/06/save-the-date-pure-virtual-cpp-2026,深度好文推荐
2026-07-02,"C++26: constexpr virtual inheritance",https://www.sandordargo.com/blog/2026/07/01/cpp26-constexpr-virtual-inheritance,新特性实战
2026-07-02,"memkit - Embedded systems container library",https://github.com/jameslavrenz/memkit,工具与库
2026-07-02,"Decomp Academy - Learn matching decompilation",https://decomp-academy.dev,深度好文推荐
